Total number of nodes in all trees: 5241

    Tree starting at Vertex ID      Tree Size    Tree Weight
                             2           4158          10180
                            78             14             42
                           296             12             23
                           950             10             42
                           931              9             18
                           742              9             18
                          2192              8             15
                          1671              8             23
                           681              8             18
                           631              8             22
                           388              8             20
                           251              8              9
                          1762              7              7
                          1524              7             14
                          1048              7             31
                           667              7             16
                           469              7             27
                           451              7             36
                           446              7             11
                           421              7             23
                          3876              6             15
                          2471              6             19
                          1340              6             14
                           821              6             14
                           815              6             12
                           571              6             21
                           563              6             11
                           419              6              9
                           299              6             21
                           274              6              9
                           252              6             24
                            99              6             14
                          4369              5             14
                          1978              5             23
                          1712              5             12
                          1644              5              9
                          1232              5              9
                          1062              5             10
                           987              5             12
                           603              5             10
                           572              5             17
                           490              5              8
                           402              5              7
                           392              5             16
                           317              5             15
                           273              5             19
                           233              5             13
                           149              5             18
                            25              5             17
                          3050              4              8
                          3027              4             12
                          2530              4             14
                          2220              4              4
                          2180              4              8
                          1879              4              6
                          1790              4             19
                          1789              4             15
                          1736              4             20
                          1708              4             10
                          1681              4             14
                          1607              4             17
                          1554              4             13
                          1251              4             11
                          1159              4              2
                          1128              4             12
                          1061              4              5
                          1047              4             11
                           962              4             18
                           947              4              2
                           836              4              6
                           512              4             12
                           300              4             17
                           253              4             11
                           136              4              9
                            91              4              9
                            38              4              7
                            30              4             12
                             7              4             23
                             0              4             13
                          4279              3             16
                          4065              3              6
                          3147              3              3
                          3042              3              1
                          2979              3              2
                          2966              3             13
                          2786              3             17
                          2697              3              9
                          2459              3              2
                          2453              3              8
                          2447              3              8
                          2290              3              4
                          2237              3              5
                          2149              3              8
                          2098              3              8
                          2029              3             10
                          2014              3              9
                          1985              3             12
                          1944              3              2
                          1942              3             12
                          1867              3              3
                          1837              3             10
                          1817              3              6
                          1701              3              9
                          1669              3              3
                          1570              3              6
                          1540              3              1
                          1532              3              5
                          1515              3             11
                          1512              3              4
                          1484              3              5
                          1310              3              5
                          1303              3             15
                          1279              3             12
                          1266              3             10
                          1263              3              9
                          1245              3              2
                          1236              3              6
                          1219              3              9
                          1204              3             17
                          1152              3             12
                          1125              3              7
                          1119              3              6
                          1077              3              1
                          1070              3              9
                          1067              3              5
                          1033              3              8
                          1032              3              6
                          1025              3              6
                           927              3              1
                           867              3              9
                           863              3             14
                           842              3              7
                           831              3              9
                           818              3              3
                           810              3              6
                           809              3              8
                           807              3              4
                           740              3              9
                           674              3             10
                           657              3              8
                           652              3             12
                           650              3              8
                           649              3             17
                           620              3              0
                           553              3             10
                           550              3              5
                           482              3              9
                           472              3              9
                           471              3              4
                           456              3             17
                           448              3              3
                           442              3             12
                           390              3              1
                           386              3              5
                           384              3              9
                           377              3              7
                           368              3              2
                           344              3              6
                           324              3              7
                           323              3              7
                           315              3              8
                           298              3              7
                           218              3              8
                           210              3              7
                           198              3             16
                           163              3              9
                           156              3              7
                           154              3              6
                           151              3             12
                           150              3              9
                            97              3              2
                            86              3              6
                            85              3              9
                            48              3              5
                            47              3              9
                            21              3             14
                            15              3              5
                          4724              2              2
                          4355              2              2
                          4347              2              2
                          4183              2              3
                          4052              2              7
                          4007              2              6
                          4005              2              6
                          3911              2              9
                          3840              2              5
                          3783              2              3
                          3681              2              5
                          3673              2              6
                          3626              2              5
                          3460              2              1
                          3320              2              3
                          3249              2              2
                          3246              2              2
                          3208              2              2
                          3191              2              2
                          3182              2              2
                          3180              2              7
                          3121              2              3
                          3108              2              5
                          3079              2              9
                          3062              2              4
                          3058              2              4
                          3033              2              0
                          3004              2              1
                          2988              2              1
                          2983              2              9
                          2960              2              5
                          2951              2              7
                          2947              2              1
                          2899              2              5
                          2865              2              6
                          2785              2              1
                          2773              2              5
                          2759              2              2
                          2681              2              7
                          2569              2              7
                          2427              2              1
                          2392              2              3
                          2384              2              0
                          2326              2              8
                          2317              2              8
                          2316              2              1
                          2309              2              8
                          2293              2              4
                          2274              2              8
                          2271              2              9
                          2260              2              1
                          2236              2              1
                          2132              2              5
                          2120              2              3
                          2112              2              6
                          2102              2              9
                          2068              2              0
                          2064              2              6
                          2035              2              9
                          2033              2              5
