Total number of nodes in all trees: 5241
    Tree starting at Vertex ID           Size         Weight

                             2           4157          10180
                            78             13             42
                           296             11             23
                           950              9             42
                           931              8             18
                           742              8             18
                          2192              7             15
                          1671              7             23
                           681              7             18
                           631              7             22
                           388              7             20
                           251              7              9
                          1762              6              7
                          1524              6             14
                          1048              6             31
                           667              6             16
                           469              6             27
                           451              6             36
                           446              6             11
                           421              6             23
                          3876              5             15
                          2471              5             19
                          1340              5             14
                           821              5             14
                           815              5             12
                           571              5             21
                           563              5             11
                           419              5              9
                           299              5             21
                           274              5              9
                           252              5             24
                            99              5             14
                          4369              4             14
                          1978              4             23
                          1712              4             12
                          1644              4              9
                          1232              4              9
                          1062              4             10
                           987              4             12
                           603              4             10
                           572              4             17
                           490              4              8
                           402              4              7
                           392              4             16
                           317              4             15
                           273              4             19
                           233              4             13
                           149              4             18
                            25              4             17
                          3050              3              8
                          3027              3             12
                          2530              3             14
                          2220              3              4
                          2180              3              8
                          1879              3              6
                          1790              3             19
                          1789              3             15
                          1736              3             20
                          1708              3             10
                          1681              3             14
                          1607              3             17
                          1554              3             13
                          1251              3             11
                          1159              3              2
                          1128              3             12
                          1061              3              5
                          1047              3             11
                           962              3             18
                           947              3              2
                           836              3              6
                           512              3             12
                           300              3             17
                           253              3             11
                           136              3              9
                            91              3              9
                            38              3              7
                            30              3             12
                             7              3             23
                             0              3             13
                          4279              2             16
                          4065              2              6
                          3147              2              3
                          3042              2              1
                          2979              2              2
                          2966              2             13
                          2786              2             17
                          2697              2              9
                          2459              2              2
                          2453              2              8
                          2447              2              8
                          2290              2              4
                          2237              2              5
                          2149              2              8
                          2098              2              8
                          2029              2             10
                          2014              2              9
                          1985              2             12
                          1944              2              2
                          1942              2             12
                          1867              2              3
                          1837              2             10
                          1817              2              6
                          1701              2              9
                          1669              2              3
                          1570              2              6
                          1540              2              1
                          1532              2              5
                          1515              2             11
                          1512              2              4
                          1484              2              5
                          1310              2              5
                          1303              2             15
                          1279              2             12
                          1266              2             10
                          1263              2              9
                          1245              2              2
                          1236              2              6
                          1219              2              9
                          1204              2             17
                          1152              2             12
                          1125              2              7
                          1119              2              6
                          1077              2              1
                          1070              2              9
                          1067              2              5
                          1033              2              8
                          1032              2              6
                          1025              2              6
                           927              2              1
                           867              2              9
                           863              2             14
                           842              2              7
                           831              2              9
                           818              2              3
                           810              2              6
                           809              2              8
                           807              2              4
                           740              2              9
                           674              2             10
                           657              2              8
                           652              2             12
                           650              2              8
                           649              2             17
                           620              2              0
                           553              2             10
                           550              2              5
                           482              2              9
                           472              2              9
                           471              2              4
                           456              2             17
                           448              2              3
                           442              2             12
                           390              2              1
                           386              2              5
                           384              2              9
                           377              2              7
                           368              2              2
                           344              2              6
                           324              2              7
                           323              2              7
                           315              2              8
                           298              2              7
                           218              2              8
                           210              2              7
                           198              2             16
                           163              2              9
                           156              2              7
                           154              2              6
                           151              2             12
                           150              2              9
                            97              2              2
                            86              2              6
                            85              2              9
                            48              2              5
                            47              2              9
                            21              2             14
                            15              2              5
                          4724              1              2
                          4355              1              2
                          4347              1              2
                          4183              1              3
                          4052              1              7
                          4007              1              6
                          4005              1              6
                          3911              1              9
                          3840              1              5
                          3783              1              3
                          3681              1              5
                          3673              1              6
